BehaviorSpace results (NetLogo 7.0.3),Table version 2.0,,,,,,
Wolf_Sheep_Predation_simpler.nlogox,,,,,,,
experiment_100_100,,,,,,,
07/31/2026 16:03:50:229 -0300,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-25,25,,,,
[run number],sheep-reproduce,wolf-reproduce,grass-regrowth-time,[step],land_with_grass,count sheep,count wolves
163,6,6,250,1500,51.51864667435602,20,0
164,6,6,250,1500,46.943483275663205,15,0
167,6,8,150,1500,31.064975009611686,74,0
166,6,8,150,1500,57.36255286428297,28,0
168,6,8,150,1500,33.333333333333336,36,0
171,6,8,175,451,52.71049596309112,0,0
170,6,8,175,478,76.816609,0,0
176,6,8,225,149,56.209150326797385,0,0
178,6,8,250,105,46.52056901191849,0,0
169,6,8,175,1311,49.48096885813149,0,0
175,6,8,225,532,28.642829680891964,0,0
180,6,8,250,223,59.40023068,0,0
179,6,8,250,626,37.21645520953479,0,0
172,6,8,200,1500,32.795078815840064,19,0
173,6,8,200,1500,43.36793541,35,0
185,6,10,175,155,62.78354479046521,0,0
177,6,8,225,1352,45.71318723567858,0,0
174,6,8,200,1500,32.718185313341024,30,0
186,6,10,175,144,51.63398692810458,0,0
189,6,10,200,201,70.51134179,0,0
182,6,10,150,1500,34.525182622068435,39,0
181,6,10,150,1500,29.52710495963091,29,0
183,6,10,150,1500,65.55171088,27,0
188,6,10,200,873,50.21145713187236,0,0
193,6,10,250,255,71.31872356785851,0,0
184,6,10,175,1500,34.87120338331411,38,0
194,6,10,250,249,65.43637062668205,0,0
191,6,10,225,610,35.90926566705114,0,0
195,6,10,250,162,56.32449058054594,0,0
187,6,10,200,1500,53.71011149557862,37,0
190,6,10,225,1500,55.47866205305652,42,0
192,6,10,225,1500,47.52018454,36,0
201,6,12,175,486,52.133794694348325,0,0
203,6,12,200,133,52.364475201845444,0,0
196,6,12,150,1500,56.32449058054594,30,0
197,6,12,150,1500,40.67666282199154,86,0
205,6,12,225,204,60.438292964244525,0,0
198,6,12,150,1500,43.21414840445982,23,0
199,6,12,175,1500,49.63475586312956,25,0
200,6,12,175,1500,38.523644752018456,50,0
207,6,12,225,151,49.01960784313726,0,0
210,6,12,250,171,47.44329104190696,0,0
202,6,12,200,1416,33.410226835832376,0,0
209,6,12,250,613,30.757400999615534,0,0
204,6,12,200,1500,41.56093810073049,39,0
214,6,14,175,550,64.20607458669743,0,0
206,6,12,225,1500,62.245290272971936,28,0
208,6,12,250,1500,59.20799692,10,0
211,6,14,150,1500,72.54901960784314,26,0
218,6,14,200,160,61.89926951172626,0,0
212,6,14,150,1500,42.29142637447136,53,0
215,6,14,175,1500,59.82314494425221,28,0
220,6,14,225,520,54.094579008073815,0,0
213,6,14,150,1500,39.67704728950404,53,0
222,6,14,225,120,51.21107266435986,0,0
223,6,14,250,279,77.08573625528643,0,0
225,6,14,250,237,60.47673971549404,0,0
224,6,14,250,245,64.70588235294117,0,0
216,6,14,175,1500,39.715494040753555,26,0
217,6,14,200,1500,42.599000384467516,43,0
230,6,16,175,114,51.82622068435217,0,0
219,6,14,200,1500,23.72164552095348,29,0
221,6,14,225,1500,64.97500961168781,41,0
233,6,16,200,130,53.59477124183007,0,0
227,6,16,150,1500,88.04306036139945,16,0
226,6,16,150,1500,82.31449442522107,2,0
228,6,16,150,1500,48.40445982314495,34,0
237,6,16,225,175,57.477893118031524,0,0
229,6,16,175,1500,47.712418300653596,25,0
231,6,16,175,1500,61.01499423298731,23,0
232,6,16,200,1500,45.751633986928105,10,0
240,6,16,250,120,51.40330642060746,0,0
234,6,16,200,1500,79.54632833525567,22,0
235,6,16,225,1500,69.16570549788543,26,0
236,6,16,225,1500,45.828527489427145,39,0
238,6,16,250,1350,19.454056132256824,0,0
245,6,18,175,170,73.16416762783545,0,0
239,6,16,250,1500,31.064975009611686,19,0
243,6,18,150,1500,39.98462129950019,50,0
241,6,18,150,1500,40.638216070742025,30,0
242,6,18,150,1500,64.70588235294117,46,0
250,6,18,225,192,63.32179930795848,0,0
244,6,18,175,1500,46.1361015,5,0
251,6,18,225,162,50.67281814686659,0,0
254,6,18,250,126,50.63437139561707,0,0
253,6,18,250,247,59.24644367550942,0,0
246,6,18,175,1500,25.02883506343714,61,0
247,6,18,200,1500,40.484429065743946,25,0
252,6,18,225,624,57.82391388,0,0
255,6,18,250,267,78.04690503652441,0,0
248,6,18,200,1500,50.55747789311803,42,0
249,6,18,200,1500,52.902729719338716,42,0
257,6,20,150,970,72.01076509034986,0,0
263,6,20,200,110,43.944636678200695,0,0
259,6,20,175,1500,37.63936947327951,57,0
256,6,20,150,1500,51.63398692810458,51,0
260,6,20,175,1500,30.219146482122262,41,0
266,6,20,225,140,53.133410226835835,0,0
261,6,20,175,1500,51.36485966935794,46,0
258,6,20,150,1500,49.288735101883894,45,0
268,6,20,250,113,43.483275663206456,0,0
267,6,20,225,219,69.12725875,0,0
262,6,20,200,1500,62.62975778546713,4,0
264,6,20,200,1214,71.66474433,0,0
269,6,20,250,522,31.56478277585544,0,0
265,6,20,225,1500,37.677816224529025,63,0
275,8,4,175,905,64.28296808919646,0,0
270,6,20,250,1500,65.01345636293733,26,0
271,8,4,150,1500,56.74740484429066,11,0
272,8,4,150,1500,38.71587850826605,50,0
279,8,4,200,150,50.01922337562476,0,0
280,8,4,225,152,51.86466743560169,0,0
273,8,4,150,1500,54.479046520569014,45,0
274,8,4,175,1441,80.19992310649751,0,0
278,8,4,200,492,21.453287197231834,0,0
283,8,4,250,166,49.51941560938101,0,0
284,8,4,250,121,43.483275663206456,0,0
285,8,4,250,160,47.327950788158404,0,0
282,8,4,225,509,26.336024605920798,0,0
281,8,4,225,643,38.369857747020376,0,0
290,8,6,175,151,60.361399461745485,0,0
291,8,6,175,165,59.361783929257975,0,0
276,8,4,175,1500,44.52133794694348,52,0
277,8,4,200,1500,57.82391388,41,0
294,8,6,200,103,49.36562860438293,0,0
286,8,6,150,1500,27.06651287966167,15,0
296,8,6,225,122,46.63590926566705,0,0
