"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_400_400"
"07/31/2026 17:21:17:390 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","sheep-reproduce","wolf-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"152","6","6","150","83","48.67358708189158","0","0"
"153","6","6","150","63","43.25259515570934","0","0"
"148","6","4","250","223","61.20722798923491","0","0"
"154","6","6","175","69","44.25221068819685","0","0"
"155","6","6","175","60","42.86812764321415","0","0"
"130","4","20","225","1500","33.48712033833141","12","0"
"157","6","6","200","65","41.753171856978085","0","0"
"158","6","6","200","81","40.330642060745866","0","0"
"156","6","6","175","89","46.48212226066897","0","0"
"161","6","6","225","59","36.024605920799694","0","0"
"160","6","6","225","94","41.33025759323337","0","0"
"159","6","6","200","110","48.5198000768935","0","0"
"162","6","6","225","81","39.792387543252595","0","0"
"163","6","6","250","67","35.56324490580546","0","0"
"164","6","6","250","71","35.8323721645521","0","0"
"165","6","6","250","94","41.1764705882353","0","0"
"167","6","8","150","68","46.52056901191849","0","0"
"170","6","8","175","79","46.67435601691657","0","0"
"166","6","8","150","154","87.65859284890426","0","0"
"169","6","8","175","126","56.362937331795465","0","0"
"171","6","8","175","80","45.63629373317955","0","0"
"172","6","8","200","74","42.67589388696655","0","0"
"168","6","8","150","174","96.96270665128796","0","0"
"173","6","8","200","60","37.56247597078047","0","0"
"174","6","8","200","96","45.02114571318724","0","0"
"178","6","8","250","56","37.06266820453671","0","0"
"140","6","4","175","1500","39.48481353325644","26","0"
"179","6","8","250","67","35.52479815455594","0","0"
"177","6","8","225","109","45.597846981930026","0","0"
"175","6","8","225","132","46.55901576316801","0","0"
"176","6","8","225","147","53.47943098808151","0","0"
"181","6","10","150","65","43.637062668204535","0","0"
"183","6","10","150","60","44.482891195693966","0","0"
"182","6","10","150","66","44.44444444444444","0","0"
"185","6","10","175","57","41.983852364475204","0","0"
"187","6","10","200","52","37.48558246828143","0","0"
"184","6","10","175","101","52.518262206843524","0","0"
"188","6","10","200","54","37.985390234525184","0","0"
"189","6","10","200","67","42.09919261822376","0","0"
"180","6","8","250","87","40.330642060745866","0","0"
"191","6","10","225","50","33.67935409457901","0","0"
"192","6","10","225","58","37.63936947327951","0","0"
"194","6","10","250","52","33.94848135332565","0","0"
"190","6","10","225","146","53.44098423683199","0","0"
"193","6","10","250","94","41.830065359477125","0","0"
"195","6","10","250","64","36.024605920799694","0","0"
"196","6","12","150","54","41.522491349480966","0","0"
"197","6","12","150","58","45.25182622068435","0","0"
"201","6","12","175","50","38.48519800076893","0","0"
"200","6","12","175","76","45.55940023068051","0","0"
"199","6","12","175","86","48.827374086889655","0","0"
"206","6","12","225","43","34.94809688581315","0","0"
"202","6","12","200","178","68.43521722414457","0","0"
"204","6","12","200","95","47.327950788158404","0","0"
"203","6","12","200","220","96.34755863129566","0","0"
"207","6","12","225","48","35.40945790080738","0","0"
"205","6","12","225","156","56.86274509803921","0","0"
"208","6","12","250","48","33.333333333333336","0","0"
"209","6","12","250","74","38.523644752018456","0","0"
"211","6","14","150","64","43.59861591695502","0","0"
"210","6","12","250","93","40.099961553248754","0","0"
"212","6","14","150","86","50.74971164936563","0","0"
"213","6","14","150","94","52.8642829680892","0","0"
"215","6","14","175","58","38.446751249519416","0","0"
"217","6","14","200","45","35.870818915801614","0","0"
"218","6","14","200","58","38.48519800076893","0","0"
"216","6","14","175","97","49.86543637062668","0","0"
"220","6","14","225","43","34.33294886582084","0","0"
"219","6","14","200","121","55.67089580930411","0","0"
"221","6","14","225","85","42.21453287197232","0","0"
"223","6","14","250","79","40.023068050749714","0","0"
"225","6","14","250","64","36.52441368704344","0","0"
"226","6","16","150","106","57.554786620530564","0","0"
"228","6","16","150","84","52.441368704344484","0","0"
"229","6","16","175","113","52.979623221837755","0","0"
"222","6","14","225","589","79.12341407151095","0","0"
"224","6","14","250","513","14.340638216070742","0","0"
"230","6","16","175","60","44.13687043444829","0","0"
"232","6","16","200","105","51.67243367935409","0","0"
"233","6","16","200","61","41.02268358323722","0","0"
"231","6","16","175","137","58.78508266051519","0","0"
"186","6","10","175","1500","52.24913494809689","33","0"
"234","6","16","200","58","37.10111495578624","0","0"
"236","6","16","225","57","36.90888119953864","0","0"
"235","6","16","225","124","50.13456362937332","0","0"
"198","6","12","150","1500","60.63052672049212","13","0"
"239","6","16","250","78","38.13917723952326","0","0"
"238","6","16","250","89","42.09919261822376","0","0"
"240","6","16","250","48","33.94848135332565","0","0"
"243","6","18","150","57","44.59823144944252","0","0"
"242","6","18","150","77","49.134948096885815","0","0"
"245","6","18","175","93","49.55786236063053","0","0"
"246","6","18","175","87","48.36601307189542","0","0"
"214","6","14","175","1500","50.21145713187236","27","0"
"248","6","18","200","97","45.48250672818147","0","0"
"249","6","18","200","61","38.13917723952326","0","0"
"227","6","16","150","1500","58.05459438677432","18","0"
"237","6","16","225","1500","70.35755478662053","11","0"
"251","6","18","225","990","29.719338715878507","0","0"
"250","6","18","225","1061","50.0961168781238","0","0"
"253","6","18","250","107","41.983852364475204","0","0"
"254","6","18","250","77","39.06189926951173","0","0"
"255","6","18","250","58","36.8319876970396","0","0"
"256","6","20","150","42","37.0242214532872","0","0"
"244","6","18","175","1500","56.70895809304114","11","0"
"257","6","20","150","104","55.32487504805844","0","0"
"258","6","20","150","98","54.01768550557478","0","0"
"247","6","18","200","1500","48.5198000768935","59","0"
"260","6","20","175","62","44.59823144944252","0","0"
"259","6","20","175","102","53.748558246828146","0","0"
"241","6","18","150","1500","36.60130718954248","47","0"
"262","6","20","200","65","41.983852364475204","0","0"
"264","6","20","200","81","43.98308342945021","0","0"
"266","6","20","225","48","37.52402921953095","0","0"
"263","6","20","200","90","45.444059976931946","0","0"
"261","6","20","175","170","68.93502499038831","0","0"
"267","6","20","225","92","41.7916186082276","0","0"
"269","6","20","250","56","34.525182622068435","0","0"
"268","6","20","250","99","42.25297962322184","0","0"
"271","8","4","150","84","45.98231449442522","0","0"
"270","6","20","250","124","47.44329104190696","0","0"
"272","8","4","150","75","45.059592464436754","0","0"
"274","8","4","175","72","39.023452518262204","0","0"
"273","8","4","150","135","62.51441753171857","0","0"
"276","8","4","175","75","43.40638216070742","0","0"
"278","8","4","200","62","36.98577470203768","0","0"
"279","8","4","200","69","39.83083429450212","0","0"
"280","8","4","225","85","39.67704728950404","0","0"
"252","6","18","225","1500","37.10111495578624","43","0"
"277","8","4","200","222","92.04152249134948","0","0"
"281","8","4","225","78","40.86889657823914","0","0"
"282","8","4","225","64","34.90965013456363","0","0"
"265","6","20","225","577","53.71011149557862","0","0"
"283","8","4","250","75","36.21683967704729","0","0"
"285","8","4","250","62","36.10149942329873","0","0"
"284","8","4","250","74","37.52402921953095","0","0"
"287","8","6","150","84","49.44252210688197","0","0"
"288","8","6","150","72","45.02114571318724","0","0"
"289","8","6","175","69","38.446751249519416","0","0"
"290","8","6","175","76","42.79123414071511","0","0"
"291","8","6","175","76","42.63744713571703","0","0"
"292","8","6","200","76","40.5997693194925","0","0"
"294","8","6","200","69","39.98462129950019","0","0"
"293","8","6","200","109","49.288735101883894","0","0"
"296","8","6","225","66","32.487504805843905","0","0"
"295","8","6","225","94","44.52133794694348","0","0"
"298","8","6","250","65","38.523644752018456","0","0"
"297","8","6","225","82","38.63898500576701","0","0"
"300","8","6","250","67","34.33294886582084","0","0"
"301","8","8","150","104","57.86236063052672","0","0"
"303","8","8","150","70","46.78969627066513","0","0"
"304","8","8","175","59","39.17723952326028","0","0"
"302","8","8","150","85","44.86735870818916","0","0"
"305","8","8","175","60","37.40868896578239","0","0"
"308","8","8","200","57","37.06266820453671","0","0"
"307","8","8","200","78","40.7920030757401","0","0"
"306","8","8","175","116","51.51864667435602","0","0"
"309","8","8","200","87","41.44559784698193","0","0"
"311","8","8","225","67","40.17685505574779","0","0"
"310","8","8","225","80","39.44636678200692","0","0"
"312","8","8","225","79","40.5997693194925","0","0"
"313","8","8","250","71","33.29488658208381","0","0"
"314","8","8","250","66","36.13994617454825","0","0"
"315","8","8","250","73","37.44713571703191","0","0"
"317","8","10","150","58","43.59861591695502","0","0"
"299","8","6","250","547","16.955017301038062","0","0"
"318","8","10","150","87","50.48058439061899","0","0"
"319","8","10","175","60","40.67666282199154","0","0"
"320","8","10","175","58","37.40868896578239","0","0"
"321","8","10","175","63","40.638216070742025","0","0"
"323","8","10","200","54","37.0242214532872","0","0"
"325","8","10","225","64","38.56209150326797","0","0"
"326","8","10","225","73","38.523644752018456","0","0"
"328","8","10","250","109","46.40522875816993","0","0"
"327","8","10","225","155","52.441368704344484","0","0"
"275","8","4","175","1500","70.70357554786621","29","0"
"330","8","10","250","60","36.409073433294886","0","0"
"329","8","10","250","61","35.870818915801614","0","0"
"331","8","12","150","61","44.32910419069589","0","0"
"324","8","10","200","455","16.224529027297194","0","0"
"333","8","12","150","132","63.590926566705114","0","0"
"332","8","12","150","144","68.93502499038831","0","0"
"335","8","12","175","77","45.136485966935794","0","0"
"286","8","6","150","1500","30.718954248366014","25","0"
"322","8","10","200","651","43.13725490196079","0","0"
"336","8","12","175","55","40.75355632449058","0","0"
"337","8","12","200","49","36.024605920799694","0","0"
"338","8","12","200","65","38.83121876201461","0","0"
"339","8","12","200","54","37.44713571703191","0","0"
"341","8","12","225","47","36.52441368704344","0","0"
"342","8","12","225","74","38.83121876201461","0","0"
"340","8","12","225","107","47.520184544406","0","0"
"343","8","12","250","93","44.40599769319493","0","0"
"345","8","12","250","74","36.87043444828912","0","0"
"334","8","12","175","411","20.030757400999615","0","0"
"347","8","14","150","53","42.32987312572088","0","0"
"344","8","12","250","130","46.09765474817378","0","0"
"348","8","14","150","60","40.984236831987694","0","0"
"349","8","14","175","57","38.292964244521336","0","0"
"316","8","10","150","1130","36.024605920799694","0","0"
"352","8","14","200","70","39.25413302575932","0","0"
"353","8","14","200","75","42.945021145713184","0","0"
"355","8","14","225","48","33.02575932333718","0","0"
"356","8","14","225","71","41.676278354479045","0","0"
"354","8","14","200","122","54.171472510572855","0","0"
"357","8","14","225","46","32.83352556708958","0","0"
"358","8","14","250","49","35.793925413302574","0","0"
"359","8","14","250","50","33.833141099577084","0","0"
"360","8","14","250","57","35.10188389081122","0","0"
"361","8","16","150","58","40.253748558246826","0","0"
"362","8","16","150","73","44.63667820069204","0","0"
"365","8","16","175","51","39.48481353325644","0","0"
"364","8","16","175","76","44.21376393694733","0","0"
"366","8","16","175","47","39.561707035755475","0","0"
"351","8","14","175","459","45.9438677431757","0","0"
"367","8","16","200","70","42.445213379469436","0","0"
"368","8","16","200","74","42.445213379469436","0","0"
"369","8","16","200","105","49.9038831218762","0","0"
"371","8","16","225","82","39.90772779700115","0","0"
"370","8","16","225","159","58.169934640522875","0","0"
"373","8","16","250","50","34.2560553633218","0","0"
"363","8","16","150","424","38.523644752018456","0","0"
"350","8","14","175","679","25.221068819684735","0","0"
"374","8","16","250","101","41.02268358323722","0","0"
"378","8","18","150","104","57.631680123029604","0","0"
"375","8","16","250","152","51.86466743560169","0","0"
"377","8","18","150","137","68.66589773164168","0","0"
"379","8","18","175","117","55.36332179930796","0","0"
"381","8","18","175","40","36.716647443291045","0","0"
"380","8","18","175","70","42.21453287197232","0","0"
"382","8","18","200","62","40.06151480199923","0","0"
"384","8","18","200","43","36.562860438292965","0","0"
"385","8","18","225","44","34.14071510957324","0","0"
"372","8","16","225","522","32.91041906958862","0","0"
"387","8","18","225","43","33.410226835832376","0","0"
"386","8","18","225","117","45.828527489427145","0","0"
"388","8","18","250","76","37.754709727028064","0","0"
"389","8","18","250","63","37.87004998077663","0","0"
"390","8","18","250","61","36.485966935793925","0","0"
"392","8","20","150","39","37.831603229527104","0","0"
"391","8","20","150","47","41.29181084198385","0","0"
"394","8","20","175","46","38.369857747020376","0","0"
"393","8","20","150","74","46.05920799692426","0","0"
"396","8","20","175","45","38.56209150326797","0","0"
"398","8","20","200","57","37.79315647827759","0","0"
"397","8","20","200","90","46.48212226066897","0","0"
"346","8","14","150","1500","29.296424452133795","46","0"
"400","8","20","225","57","34.371395617070355","0","0"
"401","8","20","225","94","45.48250672818147","0","0"
"402","8","20","225","45","33.14109957708574","0","0"
"403","8","20","250","68","40.5997693194925","0","0"
"404","8","20","250","47","33.410226835832376","0","0"
"395","8","20","175","424","42.13763936947328","0","0"
"406","10","4","150","88","49.596309111880046","0","0"
"407","10","4","150","74","43.06036139946175","0","0"
"405","8","20","250","197","58.66974240676663","0","0"
"410","10","4","175","68","40.253748558246826","0","0"
"399","8","20","200","485","53.748558246828146","0","0"
"408","10","4","150","107","52.05690119184929","0","0"
"411","10","4","175","63","38.10073048827374","0","0"
"412","10","4","200","76","38.25451749327182","0","0"
"413","10","4","200","71","35.717031910803534","0","0"
"414","10","4","200","76","39.67704728950404","0","0"
"415","10","4","225","71","36.67820069204152","0","0"
"416","10","4","225","79","39.48481353325644","0","0"
"417","10","4","225","83","38.369857747020376","0","0"
"418","10","4","250","87","36.255286428296806","0","0"
"419","10","4","250","75","35.60169165705498","0","0"
"420","10","4","250","69","34.525182622068435","0","0"
"421","10","6","150","68","43.13725490196079","0","0"
"422","10","6","150","66","44.13687043444829","0","0"
"424","10","6","175","56","36.21683967704729","0","0"
"376","8","18","150","1500","59.015763168012306","28","0"
"426","10","6","175","81","46.75124951941561","0","0"
"425","10","6","175","84","43.790849673202615","0","0"
"423","10","6","150","156","88.46597462514417","0","0"
"427","10","6","200","85","43.713956170703575","0","0"
"428","10","6","200","73","40.13840830449827","0","0"
"431","10","6","225","55","34.79430988081507","0","0"
"429","10","6","200","73","37.63936947327951","0","0"
"430","10","6","225","80","37.831603229527104","0","0"
"432","10","6","225","69","38.677431757016535","0","0"
"433","10","6","250","56","32.795078815840064","0","0"
"383","8","18","200","1500","42.368319876970396","12","0"
"434","10","6","250","64","37.10111495578624","0","0"
"436","10","8","150","58","38.94655901576317","0","0"
"435","10","6","250","67","37.56247597078047","0","0"
"439","10","8","175","65","40.67666282199154","0","0"
"438","10","8","150","63","41.48404459823145","0","0"
"440","10","8","175","61","39.21568627450981","0","0"
"441","10","8","175","57","39.98462129950019","0","0"
"442","10","8","200","72","40.44598231449442","0","0"
"437","10","8","150","143","63.62937331795463","0","0"
"443","10","8","200","53","34.71741637831603","0","0"
"444","10","8","200","60","37.56247597078047","0","0"
"445","10","8","225","67","36.562860438292965","0","0"
"447","10","8","225","47","33.29488658208381","0","0"
"446","10","8","225","62","35.2556708958093","0","0"
"448","10","8","250","55","31.372549019607842","0","0"
"449","10","8","250","70","35.75547866205306","0","0"
"452","10","10","150","65","43.90618992695117","0","0"
"450","10","8","250","86","37.33179546328335","0","0"
"451","10","10","150","98","56.59361783929258","0","0"
"454","10","10","175","62","41.906958861976165","0","0"
"456","10","10","175","50","37.677816224529025","0","0"
"457","10","10","200","67","38.13917723952326","0","0"
"458","10","10","200","62","37.831603229527104","0","0"
"459","10","10","200","69","35.371011149557866","0","0"
"461","10","10","225","57","36.75509419454056","0","0"
"463","10","10","250","43","33.87158785082661","0","0"
"462","10","10","225","61","35.52479815455594","0","0"
"460","10","10","225","129","51.44175317185698","0","0"
"466","10","12","150","58","39.023452518262204","0","0"
"464","10","10","250","73","38.83121876201461","0","0"
"465","10","10","250","101","43.21414840445982","0","0"
"467","10","12","150","97","53.55632449058054","0","0"
"469","10","12","175","60","42.21453287197232","0","0"
"471","10","12","175","53","39.06189926951173","0","0"
"470","10","12","175","120","52.8642829680892","0","0"
"473","10","12","200","48","34.94809688581315","0","0"
"474","10","12","200","68","36.8319876970396","0","0"
"475","10","12","225","59","37.21645520953479","0","0"
"409","10","4","175","1500","39.792387543252595","27","0"
"476","10","12","225","49","33.02575932333718","0","0"
"468","10","12","150","371","25.297962322183775","0","0"
"455","10","10","175","687","23.375624759707804","0","0"
"477","10","12","225","59","36.255286428296806","0","0"
"478","10","12","250","55","34.98654363706267","0","0"
"480","10","12","250","58","34.98654363706267","0","0"
"479","10","12","250","60","33.44867358708189","0","0"
"481","10","14","150","50","37.56247597078047","0","0"
"483","10","14","150","52","42.02229911572472","0","0"
"484","10","14","175","48","37.44713571703191","0","0"
"482","10","14","150","116","57.8239138792772","0","0"
"485","10","14","175","52","39.715494040753555","0","0"
"486","10","14","175","47","36.8319876970396","0","0"
"487","10","14","200","91","41.86851211072664","0","0"
"490","10","14","225","53","33.0642060745867","0","0"
"489","10","14","200","58","36.90888119953864","0","0"
"488","10","14","200","60","38.94655901576317","0","0"
"491","10","14","225","70","38.86966551326413","0","0"
"492","10","14","225","54","32.564398308342945","0","0"
"494","10","14","250","57","32.8719723183391","0","0"
"495","10","14","250","44","32.410611303344865","0","0"
"493","10","14","250","60","35.717031910803534","0","0"
"496","10","16","150","70","46.05920799692426","0","0"
"497","10","16","150","47","39.4079200307574","0","0"
"499","10","16","175","43","35.8323721645521","0","0"
"500","10","16","175","57","39.715494040753555","0","0"
"502","10","16","200","49","36.10149942329873","0","0"
"501","10","16","175","71","44.02153018069973","0","0"
"472","10","12","200","795","22.722029988465973","0","0"
"503","10","16","200","82","38.75432525951557","0","0"
"506","10","16","225","52","37.48558246828143","0","0"
"505","10","16","225","79","42.63744713571703","0","0"
"507","10","16","225","47","34.71741637831603","0","0"
"509","10","16","250","49","35.33256439830834","0","0"
"510","10","16","250","48","31.41099577085736","0","0"
"508","10","16","250","101","43.29104190695886","0","0"
"511","10","18","150","54","38.98500576701269","0","0"
"512","10","18","150","50","40.67666282199154","0","0"
"514","10","18","175","48","37.0242214532872","0","0"
"515","10","18","175","58","41.676278354479045","0","0"
"453","10","10","150","1500","59.13110342176086","21","0"
"516","10","18","175","54","37.87004998077663","0","0"
"517","10","18","200","42","34.371395617070355","0","0"
"518","10","18","200","41","32.718185313341024","0","0"
"520","10","18","225","42","33.256439830834296","0","0"
"519","10","18","200","57","37.37024221453287","0","0"
"521","10","18","225","47","34.94809688581315","0","0"
"525","10","18","250","51","36.21683967704729","0","0"
"524","10","18","250","63","36.8319876970396","0","0"
"523","10","18","250","111","46.1361014994233","0","0"
"527","10","20","150","43","39.023452518262204","0","0"
"526","10","20","150","78","49.63475586312956","0","0"
"528","10","20","150","79","49.211841599384854","0","0"
"529","10","20","175","75","45.444059976931946","0","0"
"530","10","20","175","53","37.94694348327566","0","0"
"531","10","20","175","61","37.985390234525184","0","0"
"533","10","20","200","71","39.98462129950019","0","0"
"532","10","20","200","159","60.82276047673972","0","0"
"535","10","20","225","66","38.4083044982699","0","0"
"534","10","20","200","153","58.66974240676663","0","0"
"536","10","20","225","56","34.294502114571316","0","0"
"537","10","20","225","41","33.833141099577084","0","0"
"538","10","20","250","71","39.792387543252595","0","0"
"540","10","20","250","68","37.44713571703191","0","0"
"539","10","20","250","112","46.75124951941561","0","0"
"541","12","4","150","84","48.981161091887735","0","0"
"542","12","4","150","66","41.599384851980005","0","0"
"544","12","4","175","59","35.947712418300654","0","0"
"504","10","16","200","1279","11.11111111111111","0","0"
"545","12","4","175","74","41.21491733948481","0","0"
"522","10","18","225","958","12.187620146097654","0","0"
"546","12","4","175","67","37.985390234525184","0","0"
"498","10","16","150","1500","60.053825451749326","28","0"
"549","12","4","200","70","38.062283737024224","0","0"
"547","12","4","200","111","47.05882352941177","0","0"
"550","12","4","225","68","36.52441368704344","0","0"
"551","12","4","225","77","38.56209150326797","0","0"
"552","12","4","225","95","42.82968089196463","0","0"
"553","12","4","250","79","33.79469434832757","0","0"
"554","12","4","250","60","33.60246059207997","0","0"
"555","12","4","250","76","38.25451749327182","0","0"
"556","12","6","150","74","44.82891195693964","0","0"
"558","12","6","150","70","44.86735870818916","0","0"
"559","12","6","175","73","42.32987312572088","0","0"
"561","12","6","175","69","42.368319876970396","0","0"
"560","12","6","175","108","50.865051903114185","0","0"
