"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/13/2026 17:44:39:473 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"190","6","10","225","121","40.71510957324106","0","0"
"182","6","10","150","1500","36.024605920799694","28","0"
"193","6","10","250","116","37.33179546328335","0","0"
"192","6","10","225","148","53.36409073433295","0","0"
"189","6","10","200","435","17.95463283352557","0","0"
"194","6","10","250","140","48.212226066897344","0","0"
"195","6","10","250","191","46.75124951941561","0","0"
"183","6","10","150","1500","74.2791234140715","24","0"
"196","6","12","150","325","12.072279892349096","0","0"
"201","6","12","175","625","15.455594002306805","0","0"
"188","6","10","200","1500","62.9757785467128","27","0"
"202","6","12","200","377","14.801999231064976","0","0"
"204","6","12","200","103","43.3679354094579","0","0"
"197","6","12","150","1500","22.22222222222222","56","0"
"198","6","12","150","1500","23.5678585159554","21","0"
"199","6","12","175","1500","26.95117262591311","10","0"
"200","6","12","175","1500","66.39753940792004","5","0"
"206","6","12","225","201","58.323721645520955","0","0"
"209","6","12","250","91","39.17723952326028","0","0"
"208","6","12","250","181","44.09842368319877","0","0"
"205","6","12","225","465","16.53210303729335","0","0"
"210","6","12","250","157","51.67243367935409","0","0"
"211","6","14","150","147","62.55286428296809","0","0"
"207","6","12","225","385","16.032295271049595","0","0"
"216","6","14","175","68","45.48250672818147","0","0"
"214","6","14","175","172","65.28258362168397","0","0"
"212","6","14","150","347","26.95117262591311","0","0"
"218","6","14","200","191","58.323721645520955","0","0"
"203","6","12","200","1304","27.181853133410225","0","0"
"215","6","14","175","357","12.764321414840445","0","0"
"221","6","14","225","84","37.17800845828528","0","0"
"220","6","14","225","118","44.482891195693966","0","0"
"219","6","14","200","195","54.709727028066126","0","0"
"222","6","14","225","82","37.48558246828143","0","0"
"223","6","14","250","82","43.59861591695502","0","0"
"217","6","14","200","476","13.76393694732795","0","0"
"224","6","14","250","114","44.13687043444829","0","0"
"226","6","16","150","134","56.6320645905421","0","0"
"227","6","16","150","94","52.133794694348325","0","0"
"225","6","14","250","234","57.8239138792772","0","0"
"231","6","16","175","112","50.788158400615146","0","0"
"233","6","16","200","122","48.827374086889655","0","0"
"228","6","16","150","312","20.607458669742407","0","0"
"230","6","16","175","345","16.916570549788542","0","0"
"236","6","16","225","115","41.7916186082276","0","0"
"237","6","16","225","116","41.522491349480966","0","0"
"234","6","16","200","361","13.302575932333717","0","0"
"235","6","16","225","370","12.187620146097654","0","0"
